t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
1	1.316538484	-0.426547215	-0.072731211	-0.849418634	0.378252987	0.645198145	0.351748235	-1.613314262	-1.142909019	-1.917251117	0.400114066	-1.769313424
2	1.622079	-0.384888497	-0.135143652	-0.623843771	1.1268874	0.529282158	0.74323648	-1.552711467	-1.176248504	-2.152416963	-0.058043639	-1.246875263
3	1.047583897	-0.506119853	0.304737306	-0.840515893	1.319737587	0.749587337	0.559513424	-1.776454822	-1.321750055	-1.287649857	-0.267345535	-0.914039942
4	1.109457641	-0.737865898	0.17302557	-0.94956613	1.222002422	0.777928479	0.426164176	-1.703972791	-1.405877307	-1.354431971	0.031993466	-1.910232935
5	1.325978613	-0.391173789	-0.515515838	-0.822245585	0.47086744	0.519503316	0.14707677	-2.377558322	-1.387185137	-1.628398595	0.295464238	-1.714912442
6	1.177177256	-0.625635521	-0.513209249	-0.523092537	0.685039492	0.533110557	0.359252364	-2.495399706	-0.797455775	-1.561775729	0.374384013	-1.841610629
7	1.332373772	-0.214150648	-0.575456442	-0.713195114	1.193950702	0.622430776	0.296246195	-2.451818139	-1.429228587	-1.816467757	0.252133285	-1.956101912
8	1.061904848	-0.404511846	-0.231312489	-0.088781602	0.52334695	0.581803731	0.136899224	-2.412640736	-1.542761848	-2.403466699	0.429354132	-1.655616954
9	0.83764066	-0.322342951	-1.250776981	-0.040789527	0.907508761	0.827027008	-0.179083764	-1.858360853	-1.47328662	-1.730534353	0.225888251	-1.698321905
10	0.411657605	-0.243300203	-1.123999567	-0.563775729	0.335918244	0.684634523	-0.038580235	-1.68329335	-0.814043245	-2.263868551	-0.017294413	-1.211032969
11	0.38620944	-0.180140338	-1.979685619	-0.087642711	0.571884597	0.693175524	-0.505354034	-2.217203944	-1.02179168	-2.490889961	0.182460005	-1.723734622
12	0.498442249	-0.216091947	-2.412268937	-0.355291032	-0.077963693	1.256732467	-0.354428772	-1.738751719	-1.025040356	-2.540287659	-0.16331655	-0.702600786
13	0.383670919	-0.161049494	-2.744978695	-0.342083663	1.030691726	0.791810999	-0.474401583	-1.051762097	-1.035817082	-2.81013788	-0.22766603	-0.778949931
14	0.354451516	-0.199992345	-2.322850412	-0.895010955	0.654337507	0.639818901	-0.454820742	-2.788495086	-1.243143688	-2.752398156	-0.14326054	-0.914499369
15	0.426455	-0.147706066	-2.886751966	-0.519685886	0.003343262	0.478726219	-0.489372534	-1.854648306	-0.899810192	-2.531783766	-0.359484178	-0.887774897
16	0.174083749	-0.013223924	-2.89166862	-0.195899766	0.458378768	0.520405797	-0.591867318	-2.20449951	-0.796611204	-2.240101553	-0.479803428	-0.799485818
17	0.740451113	-0.055598105	-3.686218168	-0.645818393	0.077330069	0.630210284	-0.882650703	-1.596863476	-1.011589801	-2.538793347	-0.582593246	-1.303594052
18	-0.080875085	1.342708643	-4.244737401	-0.417776894	0.148434235	0.730295968	-1.225246801	-1.799942546	-0.83667337	-2.598976063	-0.789341823	-1.56957603
19	-0.009808146	0.496952407	-3.99505984	-0.177567085	0.773507947	0.706600276	-0.888868594	-1.842509982	-0.387272733	-1.83658196	0.232950232	-1.723274883
20	-0.277940907	0.095931573	-4.476541852	-0.309027309	0.974646686	0.586963433	-0.984105477	-2.641193517	-0.846312651	-2.027159522	-0.0144788	-0.801378996
21	0.479751926	-0.19684448	-4.309647497	-1.057365406	1.043806058	0.757540931	-0.813840816	-2.56857169	-1.630695704	-2.376397856	0.168953519	-1.769355249
22	-0.448755561	0.407712414	-4.266203579	-0.585072231	1.27931426	0.520467196	-1.319684201	-2.293565723	-0.742350592	-2.663421706	-0.654848139	-0.720712198
23	0.504777004	0.137379441	-5.215949549	-0.880200311	0.198658767	0.539249297	-1.263148083	-2.243821754	-0.656840933	-2.645097382	-0.180774317	-0.93182072
24	-0.738311686	1.68739899	-4.907640081	-0.944617955	-0.068661855	1.758150008	-1.649914738	-2.41406277	-0.822086736	-2.764893933	-0.505135229	-0.463145736
25	-0.935668524	1.146515613	-4.969541527	-0.307105587	0.176121751	0.485050267	-1.722921746	-2.437984263	-1.035249324	-3.641848316	-0.815448488	-0.625794504
26	-0.836756073	0.855441526	-5.167754516	-1.106245191	-0.023873834	1.357067495	-1.803937694	-2.613167488	-0.647656335	-3.394639796	-0.591327992	-1.345682383
27	-0.853070048	1.12122183	-5.20607384	-1.095101151	-0.19772983	1.319399186	-1.574530494	-3.095435762	-0.865812476	-3.284224278	-0.646678594	-1.316694624
28	-1.202368191	1.488886354	-5.668176163	-1.018785143	0.337926269	0.302948175	-1.675698519	-2.819915132	-1.556891831	-2.813940395	-0.327308774	-1.340931599
29	-1.188303954	0.631006686	-5.805531376	-1.275242858	0.480088899	0.17085268	-2.003952573	-3.486161513	-0.888349742	-3.320792272	-0.157852625	-1.419057257
30	-1.174965516	1.30041173	-5.836837668	-0.372920914	-0.334557614	0.80209666	-2.178615017	-4.056942733	-0.477741394	-2.423457698	-1.255391699	-0.577788963
31	-1.172116668	0.896626528	-6.328958967	-1.324063865	-0.109431236	0.706385265	-2.117809886	-3.508094409	-0.36524565	-2.622781542	-0.20535484	-0.825682446
32	-1.10471214	0.644693944	-6.223620223	-1.188187307	-0.165281858	0.973695967	-2.184801751	-3.888099199	-0.615343288	-2.772001495	-0.769753556	-1.410526456
33	-1.155335794	1.565378095	-6.285220493	-0.913623455	0.173257189	0.059409462	-2.483666716	-2.788807492	-0.259027737	-4.16930384	-0.925353138	-1.0411832
34	-1.235860186	0.502854882	-6.010451374	-0.709096705	-0.413786603	0.968276497	-2.488685628	-3.477480736	-1.347648088	-3.00608213	-0.136114735	-1.426215462
35	-0.942424971	0.338671247	-6.553972453	-0.414220558	0.257429113	0.242940591	-2.283013331	-3.149882665	-1.021309923	-2.978855439	-0.624322034	-1.405578857
36	-1.100300792	0.279239596	-6.497852294	-0.737423685	0.038089969	-0.015383484	-1.309446055	-3.993309789	-1.342501141	-3.832837995	-0.532333498	-0.820073995
37	-1.059131701	1.58800068	-6.758823268	-0.949548283	0.04657162	0.211481538	-2.59984911	-3.410514678	-1.121865674	-3.395718383	-0.403149761	-1.082698285
38	-0.950491481	1.075342353	-6.935347608	-0.687959221	-0.557836487	0.633202556	-2.498492191	-3.433074604	-0.638590971	-3.034243096	-0.478593738	-0.783962837
39	-0.930037994	1.72221446	-6.736531508	-1.005322696	-0.349417331	1.461131204	-2.748559342	-3.915347125	-1.032178554	-3.943754433	-0.370664042	-1.162748835
40	-1.190833131	1.929171122	-6.777258183	-0.619371573	-0.357125372	1.400749344	-2.508705176	-3.306130559	-0.477487996	-3.208233487	-1.146614867	-0.815550781
41	-1.122832008	1.457221061	-6.796364246	-0.762713055	-0.919837767	1.504813073	-3.002119625	-4.188335607	-0.709688882	-3.380788433	-1.248275936	-1.072102813
42	-0.77288412	2.473366747	-6.850944429	-1.198732871	-0.612277077	0.916197276	-2.924118819	-3.583233674	-0.703438962	-3.862787533	-0.498765528	-1.475956697
43	-0.628115524	1.898498328	-7.36190539	-0.795630616	-0.797830929	1.335002438	-3.092779837	-3.664499876	-0.434809414	-2.882196713	-1.091182852	-1.875690414
44	-0.292748193	1.344002683	-7.25330526	-1.059989582	-1.088591	1.582790981	-3.403975628	-4.66891474	-1.077961994	-4.057721296	-0.29968437	-1.09660551
45	-0.285760352	2.281349559	-7.408716174	-0.313275813	-0.788707774	0.451131296	-3.117362176	-4.471464422	-0.449947316	-3.845840317	-0.522882535	-1.583460797
46	-0.220631039	2.35942347	-7.200218248	-1.148300728	-0.672930245	0.654813914	-3.282869604	-4.687540064	-0.364419309	-3.598976434	-0.497411986	-1.886966041
47	-0.719513557	1.263668873	-7.380320901	-1.067289534	-0.49251698	0.82790723	-3.505236693	-4.140530053	-0.762532594	-3.14942116	-0.766852548	-1.631235007
48	-1.400386117	1.947579322	-7.253307406	-0.563498894	-0.490512872	1.238146487	-3.421600228	-4.274816884	-0.915991576	-3.62314257	-1.270083265	-1.520342404
49	-1.226824728	2.238622908	-7.387333131	-1.278623884	-1.193845855	1.066621193	-3.440983394	-4.097637105	-0.945660103	-3.429392731	-1.203029066	-1.604474501
50	-1.180813445	1.740872271	-7.426267604	-0.755114269	-0.448658767	1.434527583	-3.271036154	-5.009697453	-1.018157414	-4.310159031	-1.405460656	-2.003341821
51	-1.334127089	1.925296411	-7.780338246	-1.025148632	-0.792569544	0.511513511	-3.841582594	-4.589074278	-0.503948498	-4.189720206	-1.557406664	-1.000471438
52	-1.321749333	1.793330764	-7.679977228	-1.441609835	-0.21949532	1.374213862	-3.809148987	-4.906763285	-0.397248335	-3.596658861	-1.055270118	-1.439673771
53	-1.062740936	2.217765912	-7.735728126	-1.324776933	-0.967188515	0.614812086	-3.512188636	-4.281606234	-1.090726357	-4.378507349	-1.24611552	-1.010110778
54	-1.161664809	2.210429482	-7.644287745	-1.299571419	-0.886431767	0.38001173	-3.917465027	-4.613962394	-0.419993207	-3.523448986	-1.338136162	-1.190245149
55	-1.024354799	2.066914835	-7.662139301	-1.681272449	-0.997936715	0.715134527	-3.640292961	-5.479411369	-0.680902579	-4.106505971	-0.730809179	-0.870850769
56	-0.927847413	1.396796488	-7.982757675	-1.289697952	-1.606630562	1.020710322	-3.649323294	-5.42218926	-1.126911194	-3.161205651	-0.776185417	-1.262690514
57	-0.820032494	1.74554782	-8.031671835	-1.174295348	-1.033742621	0.676232259	-4.073644437	-5.374303296	-0.914763228	-3.451318258	-0.931026275	-1.352619358
58	-1.006764426	1.483661306	-7.546168015	-0.969608985	-0.995565536	1.012161616	-3.683211844	-4.773140056	-0.7444808	-4.072050694	-0.912238051	-1.824427449
59	-1.080093401	2.179850362	-7.715531746	-1.538748285	-1.565194763	1.175397325	-3.808393825	-5.129916722	-0.383899565	-3.37490926	-1.227260266	-1.340672502
60	-0.954111227	1.311198324	-7.909578563	-1.597177146	-0.684436798	0.661547763	-4.132509055	-4.90115718	-0.427267561	-3.982583104	-2.030389962	-1.26550353
61	-1.231113383	1.411057666	-7.70875162	-1.076120975	-0.98806462	1.312284729	-4.25411609	-4.977420096	-0.041714948	-3.578070006	-1.46979908	-1.611420655
62	-0.817536858	1.494881475	-7.86841552	-1.217548927	-0.737203587	1.551743648	-4.293518298	-5.854881445	-0.459368517	-4.363008003	-1.512085773	-0.879684932
63	-0.695845892	1.84155118	-7.764708845	-0.982787072	-0.964829959	1.14331177	-4.445727636	-5.501828151	-0.103899468	-4.108161585	-1.585657379	-1.721369874
64	-0.50782056	2.570601049	-7.965656023	-1.013975299	-1.591466545	0.791059424	-4.685832472	-5.424349048	-0.147516228	-3.758094359	-1.293350677	-1.80868802
65	-1.043531702	2.497953448	-7.773365842	-1.051918222	-1.587744277	1.0416723	-4.556408025	-5.283743076	-0.33772138	-3.915197501	-1.919088535	-2.056960782
66	-0.339389874	2.67637702	-7.907931364	-1.811031242	-1.361241814	0.899513437	-4.652815419	-5.606718673	-0.424315383	-4.087305328	-1.420137927	-1.634056639
67	-0.15876079	2.664581627	-7.808437519	-1.453813213	-0.943965163	1.099989376	-4.532675598	-5.158847	-0.535015488	-3.943721992	-1.78620384	-1.343737381
68	-0.330730784	2.116638306	-7.768432644	-1.464306359	-2.260722747	0.881370213	-4.626214977	-5.568375731	-0.72457177	-4.347816619	-1.816791921	-1.168409218
69	0.189169218	1.401170414	-7.817991107	-1.311962883	-2.496459256	0.887977213	-4.464361851	-5.847597303	-0.026690095	-3.809385556	-2.213788728	-1.361918633
70	0.046219504	1.209566907	-7.667425445	-1.881786915	-2.355958152	0.490562898	-4.304640102	-4.931563381	-0.541882624	-4.525989806	-2.038626082	-1.427262809
71	-0.668781492	2.319709529	-7.749355131	-1.474340938	-1.516789791	0.503704755	-4.777423915	-5.193237444	-0.239994031	-3.767198569	-1.550894303	-1.287807599
72	-1.033984489	1.803725138	-7.580060167	-1.46411916	-2.195083563	1.45150392	-4.452737359	-5.226315447	-0.443135637	-4.584136686	-1.774948345	-0.858866445
73	-1.034089007	1.833853168	-7.847590937	-1.699926101	-1.643788287	0.576513167	-4.567757651	-5.983869938	-0.416221126	-4.177677152	-1.344570633	-2.02107876
74	-1.043437877	2.088307213	-7.714234738	-1.280870186	-1.591965411	1.046692508	-4.351913146	-5.104463397	-0.553151002	-4.895430698	-1.511951632	-1.743661248
75	-0.544117768	1.864749571	-7.651869618	-1.774496994	-2.481279266	0.916101493	-4.573856375	-5.766115474	-0.30405169	-4.311918666	-1.679145026	-1.580751427
76	-0.562690841	1.791889998	-7.827815957	-1.804174989	-2.376921133	1.124566583	-4.711003085	-6.146693435	-0.504428378	-4.102960007	-1.992279659	-1.883255346
77	-0.51619191	2.564637973	-7.721153772	-2.134158805	-2.587458885	0.620965345	-4.489493599	-6.053990804	-0.251994761	-4.231417397	-1.032426636	-1.486313384
78	-0.279381716	1.810273924	-7.886239718	-1.799745178	-2.243194116	0.89698756	-4.613324228	-5.460933325	-0.157721881	-4.615664664	-1.829343096	-1.114369858
79	-0.314470556	2.219981702	-7.840666045	-1.391596855	-2.390382014	0.577048198	-4.66367924	-6.240978188	-0.726792005	-3.561648683	-1.93341099	-2.152385058
80	-0.141821619	2.212072539	-7.130519645	-1.616132134	-2.351810634	0.752996484	-5.139885972	-5.642416877	-0.09099994	-3.793612039	-1.584201527	-2.099688822
81	-0.278771186	1.930638828	-7.328309237	-1.253963639	-1.743260436	0.902541475	-4.799078633	-6.081943897	-0.08469986	-3.565221431	-1.294790744	-1.378921399
82	-0.427585116	2.359551681	-7.342622713	-1.124309066	-2.703382043	0.38254682	-5.270141572	-5.92193515	-0.428753566	-4.329582513	-1.664277372	-0.887188893
83	-0.079778789	2.119755055	-7.439485769	-0.946277772	-2.34747552	0.82378339	-5.19796639	-5.860997784	-0.929394424	-3.917110974	-1.743011822	-1.800992543
84	-0.146442785	2.202780908	-7.305871085	-1.639586228	-3.083356976	0.643132054	-4.882689889	-5.567647855	-0.45678364	-4.613772269	-2.070718862	-2.045130604
85	-0.200828057	1.765377654	-7.426200909	-1.314954633	-2.847230877	1.383566058	-4.752356802	-6.074255588	-0.564054349	-3.829449447	-1.512228915	-1.571487088
86	-0.102305069	2.65349514	-7.306383071	-0.937414748	-2.31107329	1.031411559	-4.968577643	-6.261892612	-0.343335145	-3.228628642	-1.380648145	-1.546762603
87	-0.242700521	1.543649008	-7.457542088	-1.174785772	-2.720425095	0.323764845	-4.704976788	-6.37328462	-0.4402729	-3.991105494	-1.684913154	-1.878440583
88	0.264070176	1.402254061	-7.196748232	-1.03020363	-3.046767137	1.235197855	-5.002262627	-6.178808886	-0.155997065	-3.971803565	-1.384044608	-1.151652748
89	0.122136785	1.615213893	-7.41769522	-1.352459742	-3.186325643	0.788349242	-5.02682791	-6.414056329	-0.741223305	-3.058615248	-1.551819279	-1.208495756
90	-0.174496011	1.905041016	-7.352403808	-1.079882442	-3.172454876	0.542495034	-4.945352368	-6.524850556	-0.790476589	-3.654674796	-1.687319159	-1.32212791
91	-0.298805777	2.007396351	-7.341723426	-0.587209256	-3.744240102	0.367572164	-5.062374484	-6.50349085	-0.512103163	-3.718015142	-1.546213791	-2.026958575
92	0.618262217	1.209446475	-7.238450271	-1.272466317	-3.287851142	1.230109516	-4.790870974	-6.161221275	-0.056600107	-4.404606242	-1.572460815	-1.688171125
93	0.396916141	0.928329519	-7.283449975	-0.66749647	-3.553556709	0.998475168	-4.427604922	-5.506402209	-0.587630488	-3.199329393	-1.576538119	-1.507043737
94	0.558286032	0.835426529	-7.213203659	-0.85671813	-3.285435487	1.286540373	-4.665533947	-6.213239533	-0.284745547	-3.207525823	-1.327654805	-1.889281661
95	0.984556178	1.169129169	-7.251920563	-1.128567662	-3.951096189	1.643240897	-4.370759269	-5.440803733	-0.707419267	-3.570809811	-1.17432078	-1.707480235
96	-0.229154607	1.260817454	-7.264807678	-0.592666173	-3.859123477	1.085315313	-4.525712819	-5.171782039	-0.40210257	-3.183264816	-1.650487762	-1.634379616
97	-0.011543837	2.517802886	-7.358691477	-0.668364888	-4.025398254	1.591995338	-4.442207397	-5.863429521	-0.321485294	-3.648746984	-1.272053284	-1.265772294
98	0.055964542	1.140427726	-7.212430497	-1.207618802	-4.187740172	1.474294797	-4.427872847	-5.797999526	-0.381538705	-2.849505971	-1.947633004	-1.547105713
99	-0.023337183	1.149320529	-7.439512089	-1.058527323	-4.702294823	1.223893668	-4.430262671	-5.631490232	-0.552118228	-3.977788258	-1.382986032	-0.894253758
100	-0.188661442	2.14922527	-7.453729477	-0.642425178	-5.269123239	1.536544558	-4.596923373	-5.696727179	-0.401611779	-2.825236257	-1.433178879	-1.695035891
101	-0.16090309	1.774727476	-7.191714319	-1.10857386	-4.220917319	1.402951643	-4.434914558	-5.244997982	-0.876796858	-2.961920988	-0.993866297	-0.89708795
102	-0.123078233	1.640020657	-7.545020248	-0.245181568	-5.715961136	1.516313254	-4.460637685	-5.667454774	-0.403318352	-3.216948173	-0.636104765	-1.596574906
103	0.055988918	1.075493621	-7.217386346	-0.652703858	-5.21899106	1.359226757	-4.403385803	-5.788798598	0.105041522	-3.830154724	-0.545282952	-0.41874575
104	0.247982838	0.827805818	-7.30549174	-0.580398993	-4.640188135	1.512044607	-4.379742785	-5.684702468	-0.106430347	-3.284575247	-1.634080034	-0.92593437
105	-0.08807024	2.25900217	-7.349691914	-0.57686494	-5.029370349	1.700870576	-4.555662118	-5.12444673	-0.840690596	-3.251816792	-0.967757617	-0.794527982
