t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
58	0.225161329	0.092756957	-1.006275411	0.743716884	-0.098226221	1.36975561	-0.377006091	-0.3586415	0.563506917	-0.580028871	0.89373092	-0.120582916
59	-0.090166767	0.327148128	-0.989927905	1.177538134	-0.078580892	1.041822235	-0.560512416	0.160216084	-0.131942552	0.315123074	-0.106230104	0.004798284
60	0.301898575	-0.00563844	-0.214545907	0.072673476	-0.214572031	0.557959246	-0.696920768	0.41020036	-0.125230959	0.750284244	-0.265934796	0.644527724
61	0.289724113	0.22599604	-1.193324518	-0.026615676	0.311379084	-0.172503849	0.045630068	-0.807770381	0.800508655	-0.667261187	0.76018053	-0.075457681
62	-0.047847057	1.572337361	-0.879108998	1.112756287	-0.187066189	0.388066213	-0.536504122	0.000274309	-0.120072382	0.453292747	-0.307951963	0.625983384
63	0.558111728	-0.005869479	-0.708935183	0.308264101	-0.213127086	0.370572607	-0.684566209	-0.615518676	0.205931623	-0.713496345	1.170032967	-0.255162491
64	0.257367933	0.289666214	-1.369856728	1.09381412	-0.465593539	0.522525336	-0.729303801	-0.243603541	0.281350549	-0.616038395	-0.053006247	1.001730115
65	0.403294662	0.230638404	-1.024899837	0.816184352	-0.221287862	0.952466733	-0.384509443	0.301315309	-0.201888439	0.437868044	-0.226855059	0.668923575
66	0.47764308	0.132437548	-1.113441502	0.792040956	-0.091803222	0.939741339	-0.527732079	0.189512707	-0.044746416	0.250495694	-0.341099162	0.811097351
67	0.891504292	0.140585129	-1.235691145	0.439903571	-0.393694487	0.653780427	-0.422634386	0.57711745	-0.189953624	-0.229981203	0.769364318	-0.177216415
68	0.808785338	0.308781032	-0.929936263	0.607877038	-0.41303137	1.210540147	-0.583142932	0.157200166	0.151216344	-0.803169184	0.247165633	-0.504819847
69	0.154062107	0.144199255	-1.255775054	0.716659982	-0.427973946	0.722838506	-0.532307282	0.057499012	-0.310991791	0.358446839	-0.296848595	0.030622768
70	0.935917533	0.206240458	-1.067054281	0.653376821	-0.169561895	1.203288765	-0.728617133	-0.551650633	0.017798982	-0.595376934	0.743497135	-0.207950192
