t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
1	1.006982508	-0.369778807	-0.035415132	0.278982496	0.260663788	0.558404356	0.515232644	-1.569164355	-0.799725262	-1.231717819	0.670558151	-1.461159792
2	1.104273291	-0.327560265	0.05403897	-0.668808018	1.440829449	0.462040411	0.492943375	-1.51228273	-1.072201643	-1.350268333	0.822005428	-1.260581735
3	0.960946056	-0.563301285	0.186461327	-0.791515139	0.740350318	0.520123576	0.635018983	-1.478647409	-0.373400995	-1.776124065	-0.022048465	-0.591578605
4	1.000416753	-0.289077068	0.936401787	-0.896186839	1.338575385	0.70040523	0.640895561	-1.263631762	-0.269208515	-0.951982013	0.232306089	-1.139517677
5	1.018100852	-0.694191113	0.325794847	-0.671167385	0.598864609	0.598649918	0.145290764	-1.734951511	-0.689667899	-1.915446318	0.434882714	-1.331329754
6	0.878050241	-0.590800073	-0.179079593	0.090183781	0.366207003	0.330956499	0.021184467	-1.483920969	-0.149240477	-1.583239976	-0.342100178	-0.974246343
7	0.94249724	-0.531718232	-0.451591802	0.125053687	0.14953149	0.703250805	0.119269275	-1.925465733	-1.104908323	-1.105085709	0.900908152	-1.293254043
8	0.703848969	-0.290253401	-0.650687406	-0.568499108	0.173488499	0.215176673	0.249435495	-1.64084749	-1.116501894	-1.547743688	0.458256181	-1.37411466
9	0.924401927	-0.170905051	-0.032841972	0.224077111	0.335774196	0.63174733	-0.081258095	-1.004205319	-0.672663486	-1.851950451	0.492694107	-1.415808959
10	0.404217596	-0.097924095	-1.146892046	0.432079815	0.235637934	0.668221658	-0.15470092	-1.527255075	-0.529564347	-1.411064019	0.652981209	-1.174319032
11	0.773514269	-0.063390765	-0.956263645	-0.236488023	0.106250368	0.539249986	-0.135179184	-0.844542424	-0.741761024	-1.095399946	0.251021542	-1.185553924
12	0.519075348	-0.036604108	-1.858302639	-0.645317332	0.276422213	0.587020449	-0.388090053	-0.686889104	-1.098844571	-1.513641008	0.37438141	-1.309944324
13	0.490382092	-0.367537399	-1.966253328	-0.14972372	0.604168346	0.365775187	-0.39504511	-1.05361443	-1.09460793	-1.14217646	0.017937992	-1.281872915
14	0.596595913	-0.302495565	-1.904614679	-0.142058461	0.730382364	0.322010993	-0.314141554	-1.922177717	-0.779967898	-1.288145049	0.488169865	-1.342966893
15	0.49996448	-0.035321233	-2.420330917	0.037591293	-0.10812724	0.955341492	-0.335181765	-0.949950218	-0.602005972	-1.797531479	0.40784266	-1.329207239
16	0.57049062	-0.360439371	-2.264512688	-0.543287172	0.51534031	0.353657474	-0.598601136	-1.901853727	-0.242066214	-1.268410255	-0.062525124	-1.004470921
17	0.758163645	-0.372586269	-2.785493916	0.376237893	-0.124767107	0.862742368	-0.669298632	-1.557272109	-0.644687915	-1.006245491	0.197848113	-1.162677535
18	0.243598156	-0.091383475	-2.807325564	0.332614239	-0.151257485	0.913217725	-0.737613333	-1.772173237	-0.192630452	-1.409659843	-0.525652438	-0.233004876
19	0.165962096	-0.059131842	-2.342207368	0.244024975	-0.106045085	1.705788849	-0.712545629	-1.067513531	-0.697649266	-2.030746472	-0.53662485	-1.306195852
